Account,Balance
0xe6554e70aca48d8943ca9690e70d45bc2c7270ee,20448.289829953400000000000000
0x7bf86f83826c18ce9752ae22365176eab17db488,1460.149385993440000000000000
0xf726f0995abb80d4be8decb0006993c81b05751d,1168.844678893010000000000000
0xc6c3e4bbcdc719e7b5793a31a36937f729605c33,1063.221542225310000000000000
0xb92ba7469f00cebc245a01da9f2ed481e3c8c489,990.220522111985000000000000
0x51d32336397884d86712814d73ee3f20610e3952,975.801454166824000000000000
0x8c94a5d9648e17a0e30cc7f7f2e8f5cd8ef40bca,975.576729428907000000000000
0xc3e27850711e108033f2b007226bd29335092786,975.434098862526000000000000
0x76b7c065ee0ec58b4fcefdf8927063303d3e7989,974.722392318779000000000000
0x2dab481d9f9f3dde5157e10e7a3ed8ff4470d239,974.645899804835000000000000
0x53f740aa1962c38b75da7e7eef74c8c05fe9f276,974.495573022837000000000000
0x1852bdf59e59a6ef462f88976bc0e0208d022a2f,974.478728177451000000000000
0xcbe934124a766bee19c36aeda167a885c6063f55,974.205849393502000000000000
0xfbbee158c35410495725fcb76ff2432bb912ff0d,973.036673830165000000000000
0xcfb3f38a19e1a37eb3b76cfa01ec78149fa7f950,957.520753312906000000000000
0xc2696092e7d3e275b195e3f90a0188b791fcba01,950.825236758812000000000000
0x1632b9c770c809eab725e19cced79249c469aff4,875.970439880195000000000000
0x49361d2b850bba65e1b463826b851d1bf406afed,515.325383096224000000000000
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,497.465421456162000000000000
0x803f4a26b35e20f025ea47bba26ca0c7df60c4de,488.259846309517000000000000
0x92459ccbbd0ab48a16712c5cf05e4918d7674441,427.621373960664000000000000
0x376f951626cf1d4411e58b7d2ed47fb34b6d7e49,375.033035623826000000000000
0x4252e70da230a0cabbcc7d1bcdf2d11ecc378d83,317.379797305711000000000000
0xc85fcc44005a1d24142c6b347a0256b5e9306c10,293.748662034459000000000000
0x7d0d8bf8e14a6b3237195b8d28a19a07252c6885,286.242953519471000000000000
0x60b1f0766399e7b2596472e521722aad8c02ffcb,282.191828055540000000000000
0xd500aef1d2f5a82cb7be4141e0e23cda10474c0c,227.008353494967000000000000
